"","Player","Team","GW1","GW2","GW3","GW4","GW5","GW6","GW7","GW8","GW9","GW10","GW11","GW12","GW13","GW14","GW15","GW16","GW17","GW18","GW19","GW20","GW21","GW22","GW23","GW24","GW25","GW26","GW27","GW28","GW29","GW30","GW31","GW32","GW33","GW34","GW35","GW36","GW37","GW38","CAP1","CAP2","CAP3","CAP4","CAP5","CAP6","CAP7","CAP8","CAP9","CAP10","CAP11","CAP12","CAP13","CAP14","CAP15","CAP16","CAP17","CAP18","CAP19","CAP20","CAP21","CAP22","CAP23","CAP24","CAP25","CAP26","CAP27","CAP28","CAP29","CAP30","CAP31","CAP32","CAP33","CAP34","CAP35","CAP36","CAP37","CAP38","PLAY1","PLAY2","PLAY3","PLAY4","PLAY5","PLAY6","PLAY7","PLAY8","PLAY9","PLAY10","PLAY11","PLAY12","PLAY13","PLAY14","PLAY15","PLAY16","PLAY17","PLAY18","PLAY19","PLAY20","PLAY21","PLAY22","PLAY23","PLAY24","PLAY25","PLAY26","PLAY27","PLAY28","PLAY29","PLAY30","PLAY31","PLAY32","PLAY33","PLAY34","PLAY35","PLAY36","PLAY37","PLAY38"
"11","Ibrahimovic","Man Utd",9,13,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,16,7,2,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vice-captain","Vice-captain","Captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Captain","Captain","Captain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Valdés","Middlesbrough",2,0,0,1,2,2,2,2,10,6,4,2,0,6,2,1,6,3,5,0,10,1,3,3,7,2,2,NA,2,10,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benched","Benched","Benched","Benched","Benched","Benched","Benched","Played","Benched","Played","Benched","Benched","Benched","Played","Played","Benched","Played","Played","Benched","Benched","Played","Benched","Benched","Benched","Benched","Benched","Played","Benched","Played","Played","Played","Played","Benched",NA,NA,NA,NA,NA
"13","Capoue","Watford",10,9,2,13,10,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benched","Played","Benched","Benched","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Walker","Spurs",6,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benched","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Pieters","Stoke",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benched","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Nolito","Man City",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Amat","Swansea",NA,NA,1,0,2,0,1,1,0,0,0,2,0,-1,6,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benched","Benched","Benched","Benched","Benched","Benched","Benched","Benched","Benched","Benched","Played","Benched","Benched","Played","Benched","Benched","Played","Benched","Benched","Benched","Benched","Benched","Benched","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Foster","West Brom",NA,NA,NA,3,2,2,2,4,2,1,2,6,3,3,2,3,2,5,2,3,2,7,3,5,1,3,1,1,2,7,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Benched","Played","Benched","Played","Played","Played","Benched","Benched","Played","Benched","Benched","Played","Played","Benched","Played","Played","Played","Played","Played","Benched","Played","Benched","Benched","Benched","Benched","Played","Benched","Benched",NA,NA,NA
"19","Robertson","Hull",NA,NA,NA,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,10,4,1,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Benched","Benched","Played","Benched","Benched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Played","Played","Played","Played","Benched","Played","Played","Played",NA,NA,NA
"20","Allen","Stoke",NA,NA,NA,2,2,11,8,16,2,10,1,1,0,1,5,2,7,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Played","Benched","Benched","Benched","Benched","Played","Played","Played","Played","Benched","Played","Played","Played","Played","Played","Played","Played","Played",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
